***************** properties *****************
"insertproportion"="0.05"
"scanlengthdistribution"="uniform"
"readproportion"="0"
"scanproportion"="0.95"
"maxscanlength"="100"
"readallfields"="true"
"dotransactions"="true"
"requestdistribution"="zipfian"
"workload"="site.ycsb.workloads.CoreWorkload"
"recordcount"="1000"
"updateproportion"="0"
"db"="site.ycsb.BasicDB"
"operationcount"="1000"
**********************************************
SCAN usertable user3478864142300894949 76 [ <all fields>]
SCAN usertable user3368228601943814792 5 [ <all fields>]
SCAN usertable user4756568954557112432 26 [ <all fields>]
SCAN usertable user9220639807980150802 26 [ <all fields>]
SCAN usertable user2745182983009384772 39 [ <all fields>]
SCAN usertable user7832859415878993610 91 [ <all fields>]
SCAN usertable user2885957142312790924 5 [ <all fields>]
SCAN usertable user3594185864677242787 6 [ <all fields>]
SCAN usertable user166342448400611401 48 [ <all fields>]
SCAN usertable user3111914405046218919 27 [ <all fields>]
SCAN usertable user281664170776959239 17 [ <all fields>]
SCAN usertable user8170012179481642210 39 [ <all fields>]
SCAN usertable user3921624618947057460 75 [ <all fields>]
SCAN usertable user4408923905891647574 10 [ <all fields>]
INSERT usertable user5952875239596136740 [ field1='Z94P%4Ve/$j>I#, ,0!40;:.0`3Ha-5b+@%5F%8&t6C796b&[-<?:?M#57"1Y}.Ag#Iq?4b4"(,Ps<!:('<(5v.<h/00$4f36h. field0=1"p/9d%-v3Ts1<6(&.(?.4&(,Gs7Y#:C{"Qq?*:)Ig5P/ Lm,061Y#-O1)Ju0.l> (;Bu>Z;6N=(*882`2Mg2[m.Y=5Dy/P==*f? field7=&B#4@i+$t>G'8% 0?|*884!|+R+8*`*A-%@-9*<-@e6]'$"t;T=5R=>J)17|(Y'=/h=F;)8.")t;!x%Y'5Yg-M}2O)'O/4@{/I-1 field6=?-",I1(J;0$f Zy+R5:Ea" ((Bk/&v.[9<;l/> -\+%'z"]a?[s/Yc(2`&2$;[;)/:8?8<0p Lk#Uk6 "%9&.?t')"9)84?r:H5, field9=;T)0P=.!r6,"+^#)<6:,8=3(4B{+Cc3>~6Ay&7.=P/?!$(&&+S;%[7-L2)n?A?0Pw>8v3Gq<8x+Di%6h6\!+J7&`*Gi#;|;8$8 field8=.<4!#>= r3-b**d;Lc,Y)0Ce (2!Ac$4d6[q([2%z4_98U;:=*(@c#Q.Jq-8t7(h.O%0%&:'b.N/.X+(#|%[/%<|*[;94d;>,9 field3=*&v?]o-0 4%.8J+=Fw"W}'M'7Rc3I#(\=,/b1By*^':"*)!:2F'-0r9\%<!,(\e/^})Tk.\w-5:=^)$$<=I;5#|'H/(5~+Cq L;8 field2=,-:9J%.Vm>V#,?z&Bi+C%8We.0n6Uy512(O#?Uy3S-6;<)!|%Eu#8|0/h*]3=)p.;$1E=)Ua.0f'>n"H5$8,7Tc;-~/=01S5> ~6 field5= M{6$h>Qg;Fo:,2-Nm'G! 'z4 j2S+>%00R30@-0Z3'R?I/.J54+08C1%Wk=C+D1&,:-Zq<&r6Ho,6l2'6,=d+(.!^}3.h/W'! field4=,<h6Jg3Aw>S+1 0(4b&+v?B+//&=Y'> &!R;!Yq2%4-7b/Y1>>d7A)35b*_y-Bo:Oi5'8-@i1Co?Ws9_3518:,j.Xi5A!1;(#7., ]
SCAN usertable user60393090062798925 32 [ <all fields>]
SCAN usertable user7104424399118891562 19 [ <all fields>]
SCAN usertable user3011211189239814572 80 [ <all fields>]
